Countrycode;Namespace;AirQualityNetwork;AirQualityStation;AirQualityStationEoICode;SamplingPoint;SamplingProcess;Sample;AirPollutant;AirPollutantCode;AveragingTime;Concentration;UnitOfMeasurement;DatetimeBegin;DatetimeEnd;Validity;Verification;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0706897000;mg/m3;2022-03-15 10:00:00 +01:00;2022-03-15 11:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0957855000;mg/m3;2022-03-15 11:00:00 +01:00;2022-03-15 12:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0764368000;mg/m3;2022-03-15 12:00:00 +01:00;2022-03-15 13:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0873563000;mg/m3;2022-03-15 13:00:00 +01:00;2022-03-15 14:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.1078540000;mg/m3;2022-03-15 14:00:00 +01:00;2022-03-15 15:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.1249040000;mg/m3;2022-03-15 15:00:00 +01:00;2022-03-15 16:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.2526820000;mg/m3;2022-03-15 16:00:00 +01:00;2022-03-15 17:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.2482760000;mg/m3;2022-03-15 17:00:00 +01:00;2022-03-15 18:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.1206900000;mg/m3;2022-03-15 18:00:00 +01:00;2022-03-15 19:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.1358240000;mg/m3;2022-03-15 19:00:00 +01:00;2022-03-15 20:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0863985000;mg/m3;2022-03-15 20:00:00 +01:00;2022-03-15 21:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0522988000;mg/m3;2022-03-15 21:00:00 +01:00;2022-03-15 22:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0526820000;mg/m3;2022-03-15 22:00:00 +01:00;2022-03-15 23:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.1293100000;mg/m3;2022-03-15 23:00:00 +01:00;2022-03-16 00:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0526820000;mg/m3;2022-03-16 00:00:00 +01:00;2022-03-16 01:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0653256000;mg/m3;2022-03-16 01:00:00 +01:00;2022-03-16 02:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0189655000;mg/m3;2022-03-16 02:00:00 +01:00;2022-03-16 03:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0344828000;mg/m3;2022-03-16 03:00:00 +01:00;2022-03-16 04:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0245211000;mg/m3;2022-03-16 04:00:00 +01:00;2022-03-16 05:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0590038000;mg/m3;2022-03-16 05:00:00 +01:00;2022-03-16 06:00:00 +01:00;1;3;;;;;;Concentration (H2S);UnitOfMeasurement (H2S)
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0459771000;mg/m3;2022-03-16 06:00:00 +01:00;2022-03-16 07:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0599617000;mg/m3;2022-03-16 07:00:00 +01:00;2022-03-16 08:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.0988506000;mg/m3;2022-03-16 08:00:00 +01:00;2022-03-16 09:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.2243290000;mg/m3;2022-03-16 09:00:00 +01:00;2022-03-16 10:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS002A;STA-IS0005A;IS0005A;SPO-IS0005A_00010_102;SPP-IS_A_NDIR_thermo48;SPO_F-IS0005A_00010_102_100;CO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/10;hour;0.1749040000;mg/m3;2022-03-16 10:00:00 +01:00;2022-03-16 11:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;3.3813400000;µg/m3;2022-03-15 11:00:00 +01:00;2022-03-15 12:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;2.1846700000;µg/m3;2022-03-15 12:00:00 +01:00;2022-03-15 13:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;2.0138300000;µg/m3;2022-03-15 13:00:00 +01:00;2022-03-15 14:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;2.4028300000;µg/m3;2022-03-15 14:00:00 +01:00;2022-03-15 15:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;2.7473300000;µg/m3;2022-03-15 15:00:00 +01:00;2022-03-15 16:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;4.0010000000;µg/m3;2022-03-15 16:00:00 +01:00;2022-03-15 17:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;4.2486600000;µg/m3;2022-03-15 17:00:00 +01:00;2022-03-15 18:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;4.5873300000;µg/m3;2022-03-15 18:00:00 +01:00;2022-03-15 19:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;2.9516700000;µg/m3;2022-03-15 19:00:00 +01:00;2022-03-15 20:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.9113300000;µg/m3;2022-03-15 20:00:00 +01:00;2022-03-15 21:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.3330000000;µg/m3;2022-03-15 21:00:00 +01:00;2022-03-15 22:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.0253300000;µg/m3;2022-03-15 22:00:00 +01:00;2022-03-15 23:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.3491700000;µg/m3;2022-03-15 23:00:00 +01:00;2022-03-16 00:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.0276700000;µg/m3;2022-03-16 00:00:00 +01:00;2022-03-16 01:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;0.7736660000;µg/m3;2022-03-16 01:00:00 +01:00;2022-03-16 02:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;0.7740000000;µg/m3;2022-03-16 02:00:00 +01:00;2022-03-16 03:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;0.6561670000;µg/m3;2022-03-16 03:00:00 +01:00;2022-03-16 04:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;0.6566670000;µg/m3;2022-03-16 04:00:00 +01:00;2022-03-16 05:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;0.6966670000;µg/m3;2022-03-16 05:00:00 +01:00;2022-03-16 06:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;0.9486680000;µg/m3;2022-03-16 06:00:00 +01:00;2022-03-16 07:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.3756700000;µg/m3;2022-03-16 07:00:00 +01:00;2022-03-16 08:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;2.1163300000;µg/m3;2022-03-16 08:00:00 +01:00;2022-03-16 09:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;3.1910000000;µg/m3;2022-03-16 09:00:00 +01:00;2022-03-16 10:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;NO;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;3.5466700000;µg/m3;2022-03-16 10:00:00 +01:00;2022-03-16 11:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;3.1453400000;µg/m3;2022-03-16 11:00:00 +01:00;2022-03-16 12:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;0.9923330000;µg/m3;2022-03-15 11:00:00 +01:00;2022-03-15 12:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.9125000000;µg/m3;2022-03-15 12:00:00 +01:00;2022-03-15 13:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.5395000000;µg/m3;2022-03-15 13:00:00 +01:00;2022-03-15 14:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.8501700000;µg/m3;2022-03-15 14:00:00 +01:00;2022-03-15 15:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;2.1765000000;µg/m3;2022-03-15 15:00:00 +01:00;2022-03-15 16:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.6648300000;µg/m3;2022-03-15 16:00:00 +01:00;2022-03-15 17:00:00 +01:00;1;3;;;;;;;
IS;IS.EA-Iceland.AQ;NET-IS009A;STA-IS0037A;IS0037A;SPO-IS0037A_00038_100;SPP-IS_A_chemi_thermo42i-TL_dal;SPO_F-IS0037A_00038_100_100;H2S;http://dd.eionet.europa.eu/vocabulary/aq/pollutant/38;hour;1.6193300000;µg/m3;2022-03-15 17:00:00 +01:00;2022-03-15 18:00:00 +01:00;1;3;;;;;;;
